"","user_id","session_id","test_id","ratio","time_total","time_mean","time_sd","time_median","time_trimmed","time_mad","time_min","time_max","time_range","time_skew","time_kurtosis","time_se","time_Q0.25","time_Q0.75","time_trend","fitts_a","fitts_b","distance_total","distance_mean","distance_sd","distance_median","distance_trimmed","distance_mad","distance_min","distance_max","distance_range","distance_skew","distance_kurtosis","distance_se","distance_Q0.25","distance_Q0.75","distance_trend","pause_total","pause_number","pause_mean","pause_sd","pause_median","pause_trimmed","pause_mad","pause_min","pause_max","pause_range","pause_skew","pause_kurtosis","pause_se","pause_Q0.25","pause_Q0.75","pause_trend","stops","velocity_mean","velocity_sd","velocity_mad","velocity_min","velocity_max","velocity_range","velocity_skew","velocity_kurtosis","velocity_se","velocity_Q0.25","velocity_Q0.75","velocity_trend","acc_n","acc_mean","acc_sd","acc_median","acc_trimmed","acc_mad","acc_min","acc_max","acc_range","acc_skew","acc_kurtosis","acc_se","acc_Q0.25","acc_Q0.75","jerk_line","n_jerk","dec_n","dec_mean","dec_sd","dec_median","dec_trimmed","dec_mad","dec_min","dec_max","dec_range","dec_skew","dec_kurtosis","dec_se","dec_Q0.25","dec_Q0.75","braking_line","n_braking","acc_per_sec_mean","acc_per_sec_sd","acc_per_sec_median","acc_per_sec_trimmed","acc_per_sec_mad","acc_per_sec_min","acc_per_sec_max","acc_per_sec_range","acc_per_sec_skew","acc_per_sec_kurtosis","acc_per_sec_se","acc_per_sec_Q0.25","acc_per_sec_Q0.75","acc_per_sec_max_pos","acc_per_sec_min_pos","missings_distance","missings_mean","missings_sd","missings_median","missings_trimmed","missings_mad","missings_min","missings_max","missings_range","missings_skew","missings_kurtosis","missings_se","missings_Q0.25","missings_Q0.75","missings","hits","missings_trend","accuracy_rate","combo_hits","combo_missings","clicked_through_targets","combo_clicked_through_targets","corr_sat"
"(Intercept)124",1498,"qoi3IeKr2yo5k9NBh7mr0MQXEt",66,"1",88.69,0.7,0.13,0.69,0.7,0.13,0.26,1.06,0.8,-0.17,0.93,0.01,0.62,0.78,1.29,0.210311424350431,0.179780297645929,65843.08,518.45,148.62,504.92,514.49,123.61,0,1020.02,1020.02,0.16,1.78,13.19,429.43,595.92,2.34,5415,120,45.12,42.95,38,38.01,25.95,9,346,337,4.03,22.56,3.92,18.5,50.25,0.05,6,743.59,247.11,240.95,0,1643.15,1643.15,0.08,1.36,21.93,788.02,1102.35,2.38,779,28.72,42.28,15.32,19.65,15.84,0,376.93,376.93,3.81,19.73,1.51,6.04,31.64,267.64,76,779,-18.55,19.96,-11.08,-14.93,12.87,-105.27,47.99,153.26,-1.61,2.75,0.72,-25.96,-4.37,-93.24,49,17.52,4.16,18,17.41,4.45,9,26,17,0.12,-0.48,0.44,14,20,32,35,3297.53,25.76,35.82,19.66,20.66,11.31,1,296.94,295.94,6.27,43.16,3.17,13.36,27.81,15,113,-0.25,45.53,34,3,2,1,-0.235
"(Intercept)125",1500,"7pp7jrCznSFciJakQvCExtLkpV",66,"1.25",191.93,1.51,0.17,1.5,1.5,0.16,1.12,2.2,1.09,0.8,1.31,0.02,1.4,1.6,1.17,1.06983413068719,0.162621877259057,62788.37,494.4,114.14,505.06,493.03,137.79,281.28,767.47,486.19,0.06,-0.9,10.13,395.47,577.03,2.86,26044,125,208.35,69.15,203,203.95,65.23,86,430,344,0.67,0.6,6.19,159,248,-1.33,1,327.83,135.96,116.47,271.43,1041.74,770.31,0.66,0.89,12.06,493.17,655.32,1.98,1744,41.02,224.22,4.39,7.73,5,0,4867.54,4867.54,13.37,223.38,5.37,1.85,11.58,2777.11,257,1744,-18.81,36.18,-4.72,-9.89,5.91,-363.26,-0.01,363.26,-3.7,18.82,0.87,-16.37,-1.33,-300.93,252,18.17,7.78,17.5,17.93,8.9,2,38,36,0.25,-0.73,0.56,12,24,96,4,605.47,4.73,2.53,4.12,4.54,1.92,0,12.65,12.65,0.78,0.61,0.22,3.16,6.08,0,128,-0.02,87.55,128,0,0,0,-0.191
"(Intercept)126",1506,"DpXwlNGPkNaB7kvQgl2FkaiPaw",66,"1.125",64.24,0.51,0.12,0.51,0.52,0.07,0.05,0.72,0.66,-1.94,5.84,0.01,0.47,0.56,-0.29,0.605992913441785,-0.0369109809750664,54947.74,432.66,139.57,458.99,446.19,127.74,0,832.4,832.4,-1.04,2.03,12.38,358.24,527.31,1.36,4657,130,35.82,29.07,25.5,31.45,17.05,1,168,167,1.79,4.1,2.55,17,49.5,0.06,79,895.76,296.81,241.03,0,1740.04,1740.04,-0.82,2.2,26.34,783.74,1103.15,2.25,624,17.11,45.61,9.1,11.11,9.37,0,969.7,969.7,15.52,306.31,1.83,3.66,18.73,219.57,40,623,-12.11,20.22,-8.51,-9.75,8.06,-437.5,0,437.5,-15.25,312.39,0.81,-15.76,-3.7,-67.35,24,19.2,4.77,19,19.17,4.45,3,30,27,-0.31,0.96,0.59,16,22,28,64,5116.87,39.98,92.54,19.1,19.66,12.37,1,559.56,558.56,4.36,18.5,8.18,10.27,27.31,18,110,0.77,48.06,34,6,7,6,-0.567
"(Intercept)127",1511,"RCOHKnf6odN5giuJitIKuXVHxB",66,"1",75.71,0.6,0.12,0.58,0.58,0.07,0.41,1.73,1.32,6.59,59.16,0.01,0.54,0.63,-0.4,0.734209861024069,-0.0508733811804786,63864.98,502.87,117.53,512.23,503.21,129.06,261.72,811.16,549.44,-0.01,-0.55,10.43,413.49,589.37,2.61,3572,117,30.53,26.59,23,25.69,13.34,6,196,190,3.1,13.3,2.46,15,35,-0.21,42,869.6,235.16,215.97,227.77,1747.57,1519.8,0.11,0.59,20.87,825.08,1111.45,4.99,662,14.69,51.62,6.15,8.85,6.65,0,981.13,981.13,14.84,249.34,2.01,2.86,15.73,246.88,39,661,-10.65,13.07,-5.84,-8.22,6.05,-176.47,-0.05,176.42,-4.17,39.34,0.51,-14.26,-2.57,-56.7,52,17.42,3.84,17,17.35,2.97,8,28,20,0.19,0,0.44,15,20,9,62,2209.08,17.26,9.45,15.52,16.54,8.43,3.16,49.77,46.61,0.78,0.17,0.84,10.04,23.93,3,125,-0.02,54.96,71,1,0,0,0.035
"(Intercept)128",1515,"LMNAZze2grmRK1GbpyLkCl6jNF",66,"1",181.28,1.43,0.87,1.25,1.29,0.27,0.87,9.55,8.68,6.96,59.48,0.08,1.09,1.45,-2.68,2.37204979806609,-0.347979561136705,66677.94,525.02,215.39,495.21,497.58,143.3,278.65,1879.44,1600.79,4,21.95,19.11,407,593.56,3.31,15502,125,124.02,57.88,112,117.04,44.48,20,312,292,1.15,1.06,5.18,86,146,-0.66,5,369.76,277.57,253.87,176.56,1741.35,1564.79,1.27,2.62,24.63,386.44,730.53,5.21,1080,15.26,28.94,5.82,9.25,6.82,0,439.59,439.59,6.49,68.73,0.88,2.19,14.92,234.38,137,1080,-8.66,13.85,-3.22,-5.4,4.16,-128.21,-0.01,128.21,-3.13,14.53,0.42,-9.45,-0.74,-92.98,128,11.87,5.27,12,12.02,5.93,0,25,25,-0.2,-0.13,0.39,8,15.75,106,104,589.42,4.6,2.08,4.47,4.5,1.94,0,13.34,13.34,0.76,1.76,0.18,3.16,5.7,0,128,0.02,87.88,128,0,0,0,0.198
"(Intercept)129",1528,"3wAqBSVpS1V27GeZDKTRcot6Lo",66,"1",67.97,0.54,0.71,0.53,0.46,0.28,0,7.75,7.75,8.36,81.93,0.06,0.19,0.65,-6.82,3.10543273870063,-0.946825088610773,33135.94,260.91,248.44,313.19,238.18,394.93,0,1030.14,1030.14,0.43,-0.66,22.05,0,442.58,-3.14,13003,60,216.72,706.5,22,54.83,16.31,1,5048,5047,5.54,33.83,91.21,15.75,67.5,7.95,20,473.04,919.97,647.33,0,9340.77,9340.77,7.02,63.68,81.63,0,791.82,-7.79,394,104.65,1385.56,12.67,15.27,13.28,0,27202.94,27202.94,19.04,368.49,69.8,5.27,24.86,649.99,37,393,-19.86,44.13,-8.88,-12,9.52,-647.22,0,647.22,-8.83,107.82,2.23,-20.92,-3.71,-244,29,11.59,8.4,13.5,11.46,8.15,0,27,27,-0.2,-1.35,1.02,1.75,18,30,1,20732.04,161.97,163.72,67.07,144.49,88.06,1,516.55,515.55,0.66,-1.08,14.47,21.86,294.79,73,55,2.97,20.89,17,43,56,40,-0.292
"(Intercept)130",1529,"Ag5QlsptdtgFy8HUO51VN5V2ub",66,"1",126.97,1,0.25,0.91,0.98,0.19,0.46,1.66,1.2,0.79,-0.07,0.02,0.82,1.14,-4.8,2.78520212288766,-0.657731599767885,62457.56,491.79,150.13,476.63,475.75,135.09,260.92,1113.14,852.23,1.16,1.96,13.32,386,569.19,3.22,13830,120,115.25,78.6,96,109.48,71.91,4,320,316,0.58,-0.8,7.17,54,185,-1.58,24,498.02,285.34,326.96,246.24,1491.79,1245.55,0.44,-0.46,25.32,466.37,901.87,6.12,1043,19.54,131.94,7.68,10.38,8.03,0,4185.31,4185.31,30.23,949.85,4.09,3.33,17.18,262.08,99,1043,-11,14.33,-6.24,-8.25,7.06,-171.25,0,171.25,-3.62,22.93,0.44,-14.04,-2.27,-97.81,74,16.43,4.77,17,16.42,5.93,4,29,25,-0.01,-0.18,0.42,13,20,104,20,1576.94,12.32,26.47,8.97,9.37,6.67,1,299.02,298.02,9.93,104.59,2.34,4.87,13.95,1,127,0.18,72.95,101,1,0,0,0.119
"(Intercept)131",1533,"IZknXh2knfAWv3LS2Z3IvlBDOB",66,"1",82.42,0.65,0.16,0.61,0.63,0.09,0.44,1.58,1.15,2.67,10.89,0.01,0.56,0.69,1.41,0.127354757852912,0.192170387414766,62689.05,493.61,116.55,497.53,491.38,137.29,268.61,777.82,509.21,0.12,-0.82,10.34,395.83,578.87,2.67,2140,94,22.77,29.5,13,17.59,8.9,1,230,229,4.61,26.7,3.04,9.25,26.75,0.19,26,769.05,233.41,214.93,0,1692.5,1692.5,0.22,1.51,20.71,712.36,1002.46,3.26,957,20.32,69.18,9.95,12.32,10.13,0,994.22,994.22,12.25,159.56,2.24,4.5,20.18,871.44,62,957,-14.01,19.55,-9.3,-11.25,9.12,-448.53,45.71,494.24,-12.02,253.7,0.63,-18.34,-4.23,-76.11,64,23.07,7.08,24,23.3,5.93,0,40,40,-0.4,0.89,0.78,19,27.5,50,56,2313.43,18.07,9.3,15.73,17.27,8.31,3,47.38,44.38,0.81,0.24,0.82,11.38,23.91,5,123,0.03,52.87,55,2,0,0,0.128
"(Intercept)132",1540,"53rqzE2pgoMfqWFXr4dTCbA5m2",66,"1.25",68.19,0.54,0.09,0.53,0.53,0.09,0.32,0.78,0.45,0.4,-0.14,0.01,0.47,0.59,0.99,0.186805191563589,0.128993773090454,60437.34,475.88,102.48,471.93,471.38,100.53,286.5,875.89,589.39,0.72,1.35,9.09,403.22,538.09,2.39,2839,125,22.71,25.7,17,18.84,13.34,1,225,224,5.06,33.32,2.3,9,28,-0.12,57,906.27,235.95,225.59,540.07,1796.44,1256.37,0.65,0.47,20.94,864.72,1180.48,3.42,2172,28.57,29.38,20.41,23.76,19.17,0,277.87,277.87,2.79,12.7,0.63,10.2,38.07,234.85,121,2172,-28,23.96,-21.85,-24.6,17.29,-250,-0.06,249.94,-2.47,11.37,0.51,-37.47,-12.09,-200,83,62.97,11.58,64,63.7,7.41,8,90,82,-1.53,6.29,1.39,58,68,12,68,2408.47,18.82,11.55,16.34,17.52,9.21,1,72.14,71.14,1.77,5.12,1.02,11.18,24.06,5,123,0,52.44,63,1,0,0,0.284
"(Intercept)133",1548,"S1LoWK8tf4wuUZM8pH0yNRgk5f",66,"1",59.1,0.47,0.19,0.5,0.48,0.12,0.06,0.92,0.86,-0.79,0.11,0.02,0.43,0.58,-2.72,1.37050422968388,-0.333437801324381,45755.22,360.28,190.44,410.67,372.89,121.15,0,695.84,695.84,-0.88,-0.27,16.9,307.94,483.15,-1.6,3659,70,52.27,176.25,16.5,20.02,15.57,1,1447,1446,7.12,53.08,21.07,7.25,28,0.81,10,761.54,491.3,342.96,0,2183.94,2183.94,-0.21,-0.17,43.6,634.16,1089.75,-5.72,1614,38.59,69.53,25.13,27.91,27.15,0,1271.36,1271.36,9.75,134.99,1.73,9.26,48.56,909.09,93,1614,-36.75,35.99,-27.78,-30.53,22.93,-361.11,-0.05,361.06,-2.64,10.85,0.9,-48.34,-14.15,-235.57,93,53.82,21.17,59.5,56.92,14.08,0,82,82,-1.18,0.74,2.73,46.5,68,43,55,11002.05,85.95,152.71,21.51,46.92,15.85,1,561.61,560.61,2.13,3.08,13.5,13.82,37.38,32,96,2.54,39.36,22,24,23,23,-0.684
"(Intercept)134",1551,"YgRodjGkUi4qIUkNGT6jOTydeL",66,"1.25",202.47,1.59,0.39,1.6,1.57,0.31,0.21,3.33,3.11,0.6,2.99,0.03,1.31,1.77,5.61,-0.472256407893463,0.761275570486539,66321.69,522.22,137.34,517.54,519.01,128.11,0,933.34,933.34,-0.03,1.05,12.19,434.09,606.62,2.65,33589,130,258.38,101.26,265.5,262.04,60.79,13,774,761,0.55,5.36,8.88,221.25,302,0.55,36,332.32,152.89,148.48,0,959,959,0.48,0.64,13.57,358.1,553.22,1.67,1299,20.65,36.49,6.66,11.85,8.39,0,307.23,307.23,3.42,14.83,1.01,2.14,20.71,260.75,165,1299,-18.04,36.8,-4.52,-9.27,6.27,-343.42,0,343.41,-4.22,23.07,1.02,-17.39,-0.85,-290.48,145,12.8,6.19,13,12.68,7.41,2,26,24,0.15,-1.02,0.43,8,18,54,53,950.34,7.42,43.38,3.16,3.46,1.72,0,493.97,493.97,11.02,120.59,3.83,2.24,5,1,127,0.07,89.84,90,1,1,1,-0.265
"(Intercept)135",1557,"AlzKXZB2wMGoxUfOKXZCieWHdP",66,"1",71.02,0.56,0.18,0.53,0.53,0.1,0.35,1.42,1.07,2.8,9.49,0.02,0.46,0.59,1.55,0.00978182061742769,0.202388667747888,63383.68,499.08,130.82,488.25,493.42,121.69,238.77,922.22,683.45,0.46,0.07,11.61,407.33,580.69,2.97,2093,95,22.03,35.89,12,14.1,5.93,2,212,210,4.23,18.3,3.68,9,19,-0.06,14,898.29,270.65,259.88,306.37,1651.76,1345.39,-0.01,-0.12,24.02,816.09,1167.08,3.78,817,21.67,45.13,11.79,15.33,12.37,0,833.33,833.33,11.17,166.15,1.58,5.13,26.19,245.9,46,817,-15.92,16.52,-10.63,-13.13,10.84,-147,-0.07,146.93,-2.5,10.6,0.58,-22.52,-4.72,-89.72,31,22.71,6.08,22.5,22.93,6.67,1,37,36,-0.54,0.86,0.72,18.75,27.25,44,71,2737.78,21.39,9.56,20.86,21.06,9.86,3.16,51.08,47.92,0.38,-0.18,0.84,14.47,27.62,7,121,0.02,44.29,58,1,0,0,0.1
"(Intercept)136",1561,"R1win3ZYpnx9gv3XpmqhkVuoh5",66,"1",52.95,0.42,0.06,0.41,0.41,0.05,0.2,0.7,0.5,0.95,3.52,0.01,0.38,0.44,0.6,0.198258853054182,0.0805483389864335,60268.82,474.56,114.89,480.15,473.58,126.83,74.02,943.86,869.84,0.22,1.7,10.19,384.96,551.65,2.5,3641,106,34.35,38.32,20,27.02,19.27,1,194,193,2.15,5.03,3.72,8.25,47,-0.4,53,1163.11,390.09,258.14,76.61,3147.09,3070.48,0.66,3.77,34.62,1213.83,1572.95,4.18,1015,30.25,50.02,16.88,20.66,20.78,0,857.14,857.14,6.56,80.31,1.57,4.69,36.18,305.25,67,1015,-26.44,22.87,-20.41,-23.02,16.63,-196.31,-0.34,195.97,-2.08,6.86,0.72,-35.36,-11.46,-131.62,49,38.32,8.35,39,38.4,8.9,18,59,41,-0.02,-0.19,1.15,32,44,28,9,3315.89,25.91,31.48,24.04,22.82,11.61,0,350.72,350.72,8.62,85.68,2.78,14.27,30.66,10,118,-0.09,40.7,24,2,1,1,-0.136
"(Intercept)137",1566,"RuTPAZb0OoePghmVo9loVgmQXj",66,"1",67.13,0.53,0.1,0.5,0.52,0.06,0.2,1,0.8,1.61,5.4,0.01,0.47,0.57,0.43,0.381208641670183,0.0542928054462067,61081.83,480.96,142.97,463.72,468.76,108.83,12.48,1052.61,1040.13,1.29,4.35,12.69,392.92,540.59,2.84,3460,118,29.32,15.39,30,28.48,16.31,2,120,118,1.74,8.36,1.42,18,38,-0.04,43,931.54,277.95,280.09,68.28,1934.05,1865.77,0.24,1.14,24.66,874.54,1234.15,4.58,559,15.64,19.6,9.71,12.58,11.84,-6.94,216.67,223.61,4.66,39.44,0.83,3.15,21.83,102.1,20,559,-13.61,13.54,-9.08,-11.52,10.3,-101.02,2.08,103.09,-1.81,5.1,0.57,-20.21,-3.49,-65.35,15,16.46,3.81,16,16.32,4.45,8,26,18,0.33,-0.32,0.46,14,19,54,67,3014.83,23.55,48.05,18.27,18.57,11.09,2.24,547.61,545.37,10.13,107.56,4.25,11.09,26.42,14,114,0.21,49.86,21,2,1,1,-0.265
"(Intercept)138",1568,"bFqSDj8lKYLOcvZ0ujBwkWtZ9R",66,"1",84.9,0.67,0.14,0.66,0.65,0.1,0.47,1.49,1.02,2.67,12.46,0.01,0.59,0.72,0.58,0.457143021597357,0.0778499008987593,60898.59,479.52,115.84,469.16,475.14,125.03,273.84,766.8,492.96,0.31,-0.73,10.28,389.23,566.32,3.01,5840,126,46.35,37.88,37.5,41.24,31.13,2,229,227,1.89,5.43,3.37,20.25,63.25,-0.33,33,730.6,234.51,227.89,302.93,1793.92,1490.99,0.73,1.91,20.81,732.79,1036.93,3.89,2434,33.38,67.5,18.4,22.69,20.53,0,1369.97,1369.97,10.52,154.44,1.37,7.21,38.82,994.22,181,2434,-30.79,34.67,-20.41,-24.19,19.7,-412.82,-0.03,412.8,-3.12,16.79,0.7,-39.47,-9.05,-255.59,164,57.28,11.1,57,57.43,8.9,19,95,76,-0.28,2.87,1.2,51,63,23,32,990.33,7.74,4.24,6.71,7.42,4.07,1,23.19,22.19,0.91,1.14,0.37,4.47,10.44,0,128,0,79.64,128,0,0,0,0.129
"(Intercept)139",1575,"xaeaiobHuXO4tMlLGrqSLWzjAW",66,"1.25",100.14,0.79,0.2,0.74,0.76,0.12,0.55,2.18,1.63,3.55,18.95,0.02,0.67,0.84,2.25,-0.00270415960695863,0.29147242293397,59648.07,469.67,133.7,444.44,460.46,138.12,271.79,1160.15,888.36,1.24,3.98,11.86,372.83,542.45,3.09,7125,123,57.93,116.36,36,37.44,29.65,6,1141,1135,7.1,59.68,10.49,16,56.5,0.36,29,600.36,191.04,184.27,299.06,1493.22,1194.16,0.71,1.07,16.95,593.68,841.31,2.73,1103,18.71,34.33,10.54,13.07,10.31,0,687.39,687.39,10.22,158.51,1.03,4.87,20.92,293.49,96,1103,-15.38,24.38,-8.7,-10.76,8.73,-279.51,-0.02,279.49,-5.75,45.9,0.73,-17.75,-3.58,-234.57,86,21.85,5.86,22,22.17,4.45,1,35,34,-0.78,1.75,0.58,19,25,6,100,2229.39,17.42,8.73,15.81,16.67,8.13,3.16,61.01,57.85,1.3,3.55,0.77,11.95,22.19,2,126,0.02,54.64,49,1,0,0,-0.086
"(Intercept)140",1583,"tDuShiOUo7iZtRiXAcOyNxJR0s",66,"1",85.56,0.67,0.1,0.67,0.66,0.08,0.54,1.15,0.6,1.99,6.37,0.01,0.6,0.71,0.54,0.48563259414258,0.0692953929905417,64379.81,506.93,116.19,505.03,501.62,123.23,212.3,818.29,605.99,0.33,-0.22,10.31,415.37,579.69,2.67,5716,124,46.1,37.83,38,40.99,26.69,2,255,253,2.27,8.18,3.4,23.75,61,-0.29,17,760.48,244.57,231.69,563.44,1734.85,1171.41,0.93,0.39,21.7,777.77,1112.12,3.81,2402,26.68,36.88,18.49,20.57,18.46,0,994.82,994.82,9.41,203.69,0.75,7.77,34.56,269.57,148,2402,-28.98,27.95,-21.08,-24.41,17.84,-388.33,-0.05,388.28,-3.01,18.39,0.57,-38.18,-11.86,-197.28,133,55.87,10.41,56,55.87,11.12,31,80,49,0,-0.45,1.12,48.25,62.75,43,0,2057.77,16.08,7.68,15.07,15.55,7.49,2.24,39.2,36.97,0.66,0.06,0.68,9.85,19.89,1,127,0,57.72,90,1,0,0,-0.08
"(Intercept)141",1589,"maeLzW9yMh4nt0wOMJQMl4HTpg",66,"1",78.56,0.62,0.12,0.6,0.61,0.1,0.39,1.06,0.68,1.1,1.72,0.01,0.53,0.67,0.41,0.490037818531704,0.0473419771425177,63218.16,497.78,148.93,499,486.57,140.02,264.58,1013,748.42,0.83,1.16,13.22,381,580.55,3.2,2160,101,21.39,22.39,14,16.25,7.41,4,133,129,2.65,7.56,2.23,9,20,-0.23,8,807.77,260.87,226.72,393.41,1896.34,1502.93,0.68,1.02,23.15,741.69,1056.32,4.92,938,36.16,46.29,19.83,26.61,20.81,0,387.54,387.54,2.98,12.08,1.51,8.65,44.9,306.32,79,938,-28.52,36.68,-16.09,-20.87,18.08,-289.85,-0.21,289.64,-2.92,11.79,1.2,-35.28,-6.12,-221.3,74,23.76,4.44,24,23.82,4.45,9,34,25,-0.31,0.67,0.5,21,26,5,78,2934.31,22.92,10.95,22.11,22.47,10.62,1,70.86,69.86,0.76,1.88,0.97,15.74,29.8,9,119,-0.01,41.2,28,2,0,0,-0.008
"(Intercept)142",1593,"LDR37oKl5lKHjTJKsraGAg1Q3a",66,"1",80.11,0.63,0.13,0.63,0.63,0.09,0.06,0.95,0.9,-1.49,7.05,0.01,0.57,0.69,-0.01,0.63795443219758,-0.00265470648706633,61444.98,483.82,165.14,466.06,473.02,128.94,0,1103.72,1103.72,0.69,3.23,14.65,382.7,563.96,2.64,4923,120,41.02,38.68,36.5,34.9,30.39,6,310,304,3.36,18.27,3.53,15.75,52.25,-0.3,12,774,285.83,247.13,0,1818.33,1818.33,-0.1,1.36,25.36,805.73,1146.3,3.67,978,37.79,48.73,20.74,27.83,22.56,0,407.33,407.33,2.98,12.31,1.56,8.72,47.09,321.64,77,978,-33.68,43.59,-18.2,-24.44,21.9,-315.44,-0.06,315.39,-2.49,7.63,1.39,-44.18,-5.78,-241.79,76,24.16,5.24,25,24.37,4.45,3,36,33,-0.75,2.2,0.58,22,27,43,80,3714.24,29.02,80.85,15.15,16.05,7.27,1.41,597.14,595.73,6.15,37,7.15,10.81,21.12,7,121,0.43,55.92,41,2,3,1,-0.417
"(Intercept)143",1609,"Y3VLMlHqGrnqaI7bxhM8YkWBM8",66,"1.25",81.76,0.64,0.12,0.62,0.63,0.1,0.22,1.09,0.87,0.65,1.7,0.01,0.57,0.7,0.02,0.667916247034775,-0.00887992433621995,66415.76,522.96,155.58,510.18,511.59,148.5,129.07,1037.73,908.66,0.71,0.71,13.81,409.84,605.64,2.85,6843,129,53.05,61.51,39,41.66,22.24,6,505,499,4.46,25.06,5.42,26,58,-0.58,60,842.29,301.6,273.42,287.83,2033.64,1745.81,0.64,0.89,26.76,822.86,1185.28,4.53,889,41.7,86.1,20.63,27.89,22.45,0,1993.29,1993.29,14,297.15,2.89,8.04,45.96,384.03,80,889,-34.33,50.1,-16.68,-23.69,19.88,-434.41,-0.03,434.38,-3.5,17.29,1.68,-41.43,-5.88,-359.12,77,21.7,5.06,21,21.61,4.45,11,33,22,0.16,-0.38,0.56,18,25,46,21,3094.27,24.17,29.23,19.52,20.87,12.97,0,314.92,314.92,7.77,73.76,2.58,12.08,29.27,15,113,0.02,45.16,24,2,1,1,0.15
"(Intercept)144",1611,"8Z3wFfILayvyiY6jyHA1J5Ikcg",66,"1",65.48,0.52,0.07,0.51,0.51,0.07,0.3,0.78,0.48,0.41,0.63,0.01,0.47,0.56,-0.01,0.539852604640036,-0.00893769766277674,59892.4,471.59,115.64,487.74,470.92,112.91,82.55,919.69,837.14,0.14,1.32,10.26,398.55,544.92,2.46,3962,115,34.45,29.77,27,30.12,22.24,2,225,223,2.79,13.29,2.78,14,46,-0.06,35,939.23,280.96,269.24,276.81,2041.54,1764.73,0.06,0.49,24.93,880.24,1251.15,5.37,680,22.8,68.54,11.85,14.47,11.3,0,984.85,984.85,12.14,162.63,2.63,6.04,24.2,329.63,38,680,-14.56,13.66,-11.06,-12.69,10.48,-167.96,-0.14,167.82,-3.12,24.36,0.52,-20.8,-5.1,-68.91,15,20.62,4.83,20.5,20.44,5.19,9,34,25,0.33,0.17,0.59,17,23.75,9,37,3152.21,24.63,41.52,19.53,19.79,12.05,1,462.8,461.8,9.22,94.02,3.67,11.26,27.66,14,114,0,47.52,30,3,1,1,-0.224
"(Intercept)145",1616,"JfFTdHXxaaStZTejzJr0kAZAWh",66,"0.9375",66.07,0.52,0.05,0.52,0.52,0.04,0.38,0.69,0.31,0.74,1.04,0,0.49,0.55,0.22,0.456076970481224,0.0236292953734563,57763.76,454.83,101.58,438.82,453.35,123,270.56,779.84,509.29,0.24,-0.58,9.01,375.59,540.19,2.61,2679,98,27.34,24.59,17,23.31,9.64,2,167,165,2.48,9.24,2.48,12,37.25,-0.33,18,884.78,227.16,218.71,543.28,1610.44,1067.16,0.29,-0.11,20.16,881.64,1188.26,4.8,519,18.92,87.99,8.23,11.05,8.83,0,1905.72,1905.72,19.37,406.2,3.86,3.43,19.57,219.3,29,519,-11.45,18.78,-7.64,-9.17,7.62,-333.33,-0.06,333.28,-11.76,183.11,0.82,-15.33,-3.38,-42.55,18,15.51,3.7,16,15.55,2.97,3,25,22,-0.31,1.68,0.45,14,17.5,3,66,2460.52,19.22,8.04,18.44,19.04,9.43,1,38.59,37.59,0.17,-0.69,0.71,12.65,25.64,1,127,0.03,49.43,84,1,0,0,0.123
"(Intercept)146",1618,"wuf9dcIoMDKBWc3EgDOqGKg6C7",66,"1",72.31,0.57,0.1,0.56,0.56,0.06,0.44,1.34,0.9,4.22,25.93,0.01,0.51,0.59,0.64,0.337118753589142,0.0855484471986594,60935.53,479.81,117.29,476.52,476.07,111.85,236.52,1029.9,793.38,0.78,2.53,10.41,403.82,552,2.76,1818,70,25.97,38.97,16,17.29,9.64,1,233,232,3.76,14.78,4.66,10.25,23.75,-0.74,16,848.86,187.82,166.18,212.04,1441.68,1229.64,-0.39,1.09,16.67,767.07,988.66,3.17,762,21.02,86.31,10.28,12.86,10.61,-3.97,1994.6,1998.57,18.07,378.37,3.13,4.45,22.45,299.25,27,762,-14.48,17.72,-9.43,-11.79,9.53,-257.69,-0.01,257.68,-6.05,63.9,0.64,-19.94,-4.29,-112.71,27,20.89,5.22,21,21.03,4.45,3,30,27,-0.44,0.49,0.61,18,24,35,43,2387.83,18.65,9.71,17.25,18.05,9.57,2.24,54.45,52.22,0.67,0.49,0.86,12.18,25,7,121,-0.01,51.44,60,1,0,0,0.071
"(Intercept)147",1620,"r5zV7IUPZoLYiDRXn9g76cwQqe",66,"1",61.34,0.48,0.09,0.47,0.47,0.07,0.32,1,0.67,2.05,7.38,0.01,0.42,0.52,-0.75,0.746148246900558,-0.096936110527315,61048.37,480.7,98.04,482.1,479.61,109.55,298.91,712.31,413.39,0.08,-0.7,8.7,403.69,548.41,2.15,2273,112,20.29,16.74,16,17.66,13.34,1,82,81,1.48,2.15,1.58,7,27,0.01,21,1015,395.73,425.6,646.04,2718.82,2072.78,0.69,0.32,35.12,979.92,1551.62,7.85,1477,36.02,60.66,21.12,26.38,25.26,0,993.94,993.94,8.91,121.8,1.58,8.39,45.24,478.46,93,1477,-36.59,38.09,-26.09,-30.01,23.75,-394.6,-0.47,394.13,-3.05,15.41,0.99,-45.63,-13.24,-299.2,94,47.66,8.62,48,47.92,7.41,16,66,50,-0.67,1.52,1.1,42,52,0,61,2782.71,21.74,12.49,20.62,20.82,11.85,1,72.44,71.44,0.99,1.92,1.1,12.37,28.34,13,115,0.1,45.02,40,2,0,0,0.248
